lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,high_conf_det_threshold,HOTA,IDF1,MOTA
10,0.9,1,0.05,0.7,0.6224440321635726,0.631009434030048,0.9419339122460092
10,0.9,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
10,0.9,1,0.1,0.5,0.6285418450850091,0.6337905082777316,0.9433066804230075
10,0.9,1,0.1,0.6,0.6258054472690734,0.6335953286687137,0.9428595993465738
10,0.9,1,0.1,0.7,0.6233578536533871,0.6320220921368677,0.9424125182701402
10,0.9,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
10,0.9,1,0.3,0.5,0.6216742550815831,0.6049168229981269,0.9405267532169777
10,0.9,1,0.3,0.6,0.6192115502314717,0.6054375670954515,0.9401283925142578
10,0.9,1,0.3,0.7,0.621804600987298,0.6095723343872285,0.9384403748602872
10,0.9,1,0.3,0.9,0.6242211675026379,0.6117693003073585,0.933829134783481
10,0.9,3,0.05,0.5,0.626562605202339,0.6306497794664339,0.9414954288825839
10,0.9,3,0.05,0.6,0.6222917110650737,0.6294640674036424,0.9409623706760668
10,0.9,3,0.05,0.7,0.6217360763280487,0.6307469280684799,0.9404121170435331
10,0.9,3,0.05,0.9,0.618148925425327,0.6233839536529558,0.9324334393717938
10,0.9,3,0.1,0.5,0.62781920568258,0.6335164621751909,0.9417247012294729
10,0.9,3,0.1,0.6,0.6250886482510987,0.6333670158710967,0.941269022440031
10,0.9,3,0.1,0.7,0.6226321314576737,0.6317698676831305,0.9408477345026223
10,0.9,3,0.1,0.9,0.6236465784050188,0.6286010818061711,0.9338577938268421
10,0.9,3,0.3,0.5,0.6208524203350989,0.6047493403693931,0.938437508955951
10,0.9,3,0.3,0.6,0.6183722321303233,0.6052740824742566,0.9380248187315507
10,0.9,3,0.3,0.7,0.6209404109473455,0.6094071422991572,0.9362909466082022
10,0.9,3,0.3,0.9,0.6233959556711417,0.6115987778566153,0.9316453156793626
30,0.2,1,0.05,0.5,0.6086270013395033,0.5923663386404321,0.9407245006161694
30,0.2,1,0.05,0.6,0.6106620296820122,0.6021940913877862,0.9448943914252143
30,0.2,1,0.05,0.7,0.6227626826288013,0.6227165615712735,0.9479838362995443
30,0.2,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
30,0.2,1,0.1,0.5,0.6098646951164572,0.5952735492910608,0.9412546929183504
30,0.2,1,0.1,0.6,0.6123140576615848,0.603389560698834,0.9447654257300891
30,0.2,1,0.1,0.7,0.6230055445228617,0.6232583057744671,0.9481213997076777
30,0.2,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
30,0.2,1,0.3,0.5,0.6007890720513858,0.5644335101466176,0.9446765826956696
30,0.2,1,0.3,0.6,0.6042866386192557,0.5733787714879856,0.9472157739374659
30,0.2,1,0.3,0.7,0.6162950962010866,0.5941182436727621,0.9497291720402373
30,0.2,1,0.3,0.9,0.6242211675026379,0.6117693003073585,0.933829134783481
30,0.2,3,0.05,0.5,0.6082176034078284,0.5924214470210893,0.9398131430372855
30,0.2,3,0.05,0.6,0.6101348583840825,0.6021327604237066,0.9437079070300634
30,0.2,3,0.05,0.7,0.6221433821350589,0.622553821977135,0.9466053363138739
30,0.2,3,0.05,0.9,0.618148925425327,0.6233839536529558,0.9324334393717938
30,0.2,3,0.1,0.5,0.6094480632911587,0.5953469349499632,0.9402544923050469
30,0.2,3,0.1,0.6,0.6117876637902038,0.6033530364303339,0.9434786346831743
30,0.2,3,0.1,0.7,0.6223753966892298,0.623108267500353,0.9466454589745794
30,0.2,3,0.1,0.9,0.6236465784050188,0.6286010818061711,0.9338577938268421
30,0.2,3,0.3,0.5,0.6003469347625294,0.5646844279811939,0.9433783280314103
30,0.2,3,0.3,0.6,0.6037044700656607,0.5734458599089813,0.9455822084658814
30,0.2,3,0.3,0.7,0.6155839466697278,0.5940947849807675,0.9477316367179663
30,0.2,3,0.3,0.9,0.6233959556711417,0.6115987778566153,0.9316453156793626
30,0.5,1,0.05,0.5,0.6086270013395033,0.5923663386404321,0.9407245006161694
30,0.5,1,0.05,0.6,0.6106620296820122,0.6021940913877862,0.9448943914252143
30,0.5,1,0.05,0.7,0.6227626826288013,0.6227165615712735,0.9479838362995443
30,0.5,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
30,0.5,1,0.1,0.5,0.6098646951164572,0.5952735492910608,0.9412546929183504
30,0.5,1,0.1,0.6,0.6123140576615848,0.603389560698834,0.9447654257300891
30,0.5,1,0.1,0.7,0.6230055445228617,0.6232583057744671,0.9481213997076777
30,0.5,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
30,0.5,1,0.3,0.5,0.6007890720513858,0.5644335101466176,0.9446765826956696
30,0.5,1,0.3,0.6,0.6042866386192557,0.5733787714879856,0.9472157739374659
30,0.5,1,0.3,0.7,0.6162950962010866,0.5941182436727621,0.9497291720402373
30,0.5,1,0.3,0.9,0.6242211675026379,0.6117693003073585,0.933829134783481
30,0.5,3,0.05,0.5,0.6082176034078284,0.5924214470210893,0.9398131430372855
30,0.5,3,0.05,0.6,0.6101348583840825,0.6021327604237066,0.9437079070300634
30,0.5,3,0.05,0.7,0.6221433821350589,0.622553821977135,0.9466053363138739
30,0.5,3,0.05,0.9,0.618148925425327,0.6233839536529558,0.9324334393717938
30,0.5,3,0.1,0.5,0.6094480632911587,0.5953469349499632,0.9402544923050469
30,0.5,3,0.1,0.6,0.6117876637902038,0.6033530364303339,0.9434786346831743
30,0.5,3,0.1,0.7,0.6223753966892298,0.623108267500353,0.9466454589745794
30,0.5,3,0.1,0.9,0.6236465784050188,0.6286010818061711,0.9338577938268421
30,0.5,3,0.3,0.5,0.6003469347625294,0.5646844279811939,0.9433783280314103
30,0.5,3,0.3,0.6,0.6037044700656607,0.5734458599089813,0.9455822084658814
30,0.5,3,0.3,0.7,0.6155839466697278,0.5940947849807675,0.9477316367179663
30,0.5,3,0.3,0.9,0.6233959556711417,0.6115987778566153,0.9316453156793626
30,0.7,1,0.05,0.5,0.6173145233032787,0.6118436313904192,0.947293153354541
30,0.7,1,0.05,0.6,0.6124619977906335,0.6076057874269701,0.9476141346401857
30,0.7,1,0.05,0.7,0.6227626826288013,0.6227165615712735,0.9479838362995443
30,0.7,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
30,0.7,1,0.1,0.5,0.6150234864352379,0.6070216883930096,0.9471211990943742
30,0.7,1,0.1,0.6,0.6134212057651492,0.6093192415028057,0.9481643882727194
30,0.7,1,0.1,0.7,0.6230055445228617,0.6232583057744671,0.9481213997076777
30,0.7,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
30,0.7,1,0.3,0.5,0.6108084077219342,0.5820090412996405,0.9499555784827902
30,0.7,1,0.3,0.6,0.6069190915024963,0.5813695397874404,0.9497864901269596
30,0.7,1,0.3,0.7,0.6162950962010866,0.5941182436727621,0.9497291720402373
30,0.7,1,0.3,0.9,0.6242211675026379,0.6117693003073585,0.933829134783481
30,0.7,3,0.05,0.5,0.6167142060819145,0.6117100689497977,0.9459031897515261
30,0.7,3,0.05,0.6,0.6118617517368399,0.6074775546506308,0.9462270369415069
30,0.7,3,0.05,0.7,0.6221433821350589,0.622553821977135,0.9466053363138739
30,0.7,3,0.05,0.9,0.618148925425327,0.6233839536529558,0.9324334393717938
30,0.7,3,0.1,0.5,0.6144286266942711,0.6069205640962081,0.945673917404637
30,0.7,3,0.1,0.6,0.6128219616651439,0.6091978609625669,0.9466913134439573
30,0.7,3,0.1,0.7,0.6223753966892298,0.623108267500353,0.9466454589745794
30,0.7,3,0.1,0.9,0.6236465784050188,0.6286010818061711,0.9338577938268421
30,0.7,3,0.3,0.5,0.6101231072401163,0.5820171620445218,0.9480153612472416
30,0.7,3,0.3,0.6,0.6062244997373272,0.5813354768395488,0.947823345656722
30,0.7,3,0.3,0.7,0.6155839466697278,0.5940947849807675,0.9477316367179663
30,0.7,3,0.3,0.9,0.6233959556711417,0.6115987778566153,0.9316453156793626
30,0.9,1,0.05,0.5,0.6272855310433808,0.6309521414633165,0.9430344195110767
30,0.9,1,0.05,0.6,0.6229997076754454,0.6297040403082327,0.9425013613045596
30,0.9,1,0.05,0.7,0.6224440321635726,0.631009434030048,0.9419339122460092
30,0.9,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
30,0.9,1,0.1,0.5,0.6285418450850091,0.6337905082777316,0.9433066804230075
30,0.9,1,0.1,0.6,0.6258054472690734,0.6335953286687137,0.9428595993465738
30,0.9,1,0.1,0.7,0.6233578536533871,0.6320220921368677,0.9424125182701402
30,0.9,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
30,0.9,1,0.3,0.5,0.6216742550815831,0.6049168229981269,0.9405267532169777
30,0.9,1,0.3,0.6,0.6192115502314717,0.6054375670954515,0.9401283925142578
30,0.9,1,0.3,0.7,0.621804600987298,0.6095723343872285,0.9384403748602872
30,0.9,1,0.3,0.9,0.6242211675026379,0.6117693003073585,0.933829134783481
30,0.9,3,0.05,0.5,0.626562605202339,0.6306497794664339,0.9414954288825839
30,0.9,3,0.05,0.6,0.6222917110650737,0.6294640674036424,0.9409623706760668
30,0.9,3,0.05,0.7,0.6217360763280487,0.6307469280684799,0.9404121170435331
30,0.9,3,0.05,0.9,0.618148925425327,0.6233839536529558,0.9324334393717938
30,0.9,3,0.1,0.5,0.62781920568258,0.6335164621751909,0.9417247012294729
30,0.9,3,0.1,0.6,0.6250886482510987,0.6333670158710967,0.941269022440031
30,0.9,3,0.1,0.7,0.6226321314576737,0.6317698676831305,0.9408477345026223
30,0.9,3,0.1,0.9,0.6236465784050188,0.6286010818061711,0.9338577938268421
30,0.9,3,0.3,0.5,0.6208524203350989,0.6047493403693931,0.938437508955951
30,0.9,3,0.3,0.6,0.6183722321303233,0.6052740824742566,0.9380248187315507
30,0.9,3,0.3,0.7,0.6209404109473455,0.6094071422991572,0.9362909466082022
30,0.9,3,0.3,0.9,0.6233959556711417,0.6115987778566153,0.9316453156793626
60,0.2,1,0.05,0.5,0.6086270013395033,0.5923663386404321,0.9407245006161694
60,0.2,1,0.05,0.6,0.6106620296820122,0.6021940913877862,0.9448943914252143
60,0.2,1,0.05,0.7,0.6227626826288013,0.6227165615712735,0.9479838362995443
60,0.2,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
60,0.2,1,0.1,0.5,0.6098646951164572,0.5952735492910608,0.9412546929183504
60,0.2,1,0.1,0.6,0.6123140576615848,0.603389560698834,0.9447654257300891
60,0.2,1,0.1,0.7,0.6230055445228617,0.6232583057744671,0.9481213997076777
60,0.2,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
60,0.2,1,0.3,0.5,0.6007890720513858,0.5644335101466176,0.9446765826956696
60,0.2,1,0.3,0.6,0.6042866386192557,0.5733787714879856,0.9472157739374659
60,0.2,1,0.3,0.7,0.6162950962010866,0.5941182436727621,0.9497291720402373
60,0.2,1,0.3,0.9,0.6242211675026379,0.6117693003073585,0.933829134783481
60,0.2,3,0.05,0.5,0.6082176034078284,0.5924214470210893,0.9398131430372855
60,0.2,3,0.05,0.6,0.6101348583840825,0.6021327604237066,0.9437079070300634
60,0.2,3,0.05,0.7,0.6221433821350589,0.622553821977135,0.9466053363138739
60,0.2,3,0.05,0.9,0.618148925425327,0.6233839536529558,0.9324334393717938
60,0.2,3,0.1,0.5,0.6094480632911587,0.5953469349499632,0.9402544923050469
60,0.2,3,0.1,0.6,0.6117876637902038,0.6033530364303339,0.9434786346831743
60,0.2,3,0.1,0.7,0.6223753966892298,0.623108267500353,0.9466454589745794
60,0.2,3,0.1,0.9,0.6236465784050188,0.6286010818061711,0.9338577938268421
60,0.2,3,0.3,0.5,0.6003469347625294,0.5646844279811939,0.9433783280314103
60,0.2,3,0.3,0.6,0.6037044700656607,0.5734458599089813,0.9455822084658814
60,0.2,3,0.3,0.7,0.6155839466697278,0.5940947849807675,0.9477316367179663
60,0.2,3,0.3,0.9,0.6233959556711417,0.6115987778566153,0.9316453156793626
60,0.5,1,0.05,0.5,0.6086270013395033,0.5923663386404321,0.9407245006161694
60,0.5,1,0.05,0.6,0.6106620296820122,0.6021940913877862,0.9448943914252143
60,0.5,1,0.05,0.7,0.6227626826288013,0.6227165615712735,0.9479838362995443
60,0.5,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
60,0.5,1,0.1,0.5,0.6098646951164572,0.5952735492910608,0.9412546929183504
60,0.5,1,0.1,0.6,0.6123140576615848,0.603389560698834,0.9447654257300891
60,0.5,1,0.1,0.7,0.6230055445228617,0.6232583057744671,0.9481213997076777
60,0.5,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
60,0.5,1,0.3,0.5,0.6007890720513858,0.5644335101466176,0.9446765826956696
60,0.5,1,0.3,0.6,0.6042866386192557,0.5733787714879856,0.9472157739374659
60,0.5,1,0.3,0.7,0.6162950962010866,0.5941182436727621,0.9497291720402373
60,0.5,1,0.3,0.9,0.6242211675026379,0.6117693003073585,0.933829134783481
60,0.5,3,0.05,0.5,0.6082176034078284,0.5924214470210893,0.9398131430372855
60,0.5,3,0.05,0.6,0.6101348583840825,0.6021327604237066,0.9437079070300634
60,0.5,3,0.05,0.7,0.6221433821350589,0.622553821977135,0.9466053363138739
60,0.5,3,0.05,0.9,0.618148925425327,0.6233839536529558,0.9324334393717938
60,0.5,3,0.1,0.5,0.6094480632911587,0.5953469349499632,0.9402544923050469
60,0.5,3,0.1,0.6,0.6117876637902038,0.6033530364303339,0.9434786346831743
60,0.5,3,0.1,0.7,0.6223753966892298,0.623108267500353,0.9466454589745794
60,0.5,3,0.1,0.9,0.6236465784050188,0.6286010818061711,0.9338577938268421
60,0.5,3,0.3,0.5,0.6003469347625294,0.5646844279811939,0.9433783280314103
60,0.5,3,0.3,0.6,0.6037044700656607,0.5734458599089813,0.9455822084658814
60,0.5,3,0.3,0.7,0.6155839466697278,0.5940947849807675,0.9477316367179663
60,0.5,3,0.3,0.9,0.6233959556711417,0.6115987778566153,0.9316453156793626
60,0.7,1,0.05,0.5,0.6173145233032787,0.6118436313904192,0.947293153354541
60,0.7,1,0.05,0.6,0.6124619977906335,0.6076057874269701,0.9476141346401857
60,0.7,1,0.05,0.7,0.6227626826288013,0.6227165615712735,0.9479838362995443
60,0.7,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
60,0.7,1,0.1,0.5,0.6150234864352379,0.6070216883930096,0.9471211990943742
60,0.7,1,0.1,0.6,0.6134212057651492,0.6093192415028057,0.9481643882727194
60,0.7,1,0.1,0.7,0.6230055445228617,0.6232583057744671,0.9481213997076777
60,0.7,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
60,0.7,1,0.3,0.5,0.6108084077219342,0.5820090412996405,0.9499555784827902
60,0.7,1,0.3,0.6,0.6069190915024963,0.5813695397874404,0.9497864901269596
60,0.7,1,0.3,0.7,0.6162950962010866,0.5941182436727621,0.9497291720402373
60,0.7,1,0.3,0.9,0.6242211675026379,0.6117693003073585,0.933829134783481
60,0.7,3,0.05,0.5,0.6167142060819145,0.6117100689497977,0.9459031897515261
60,0.7,3,0.05,0.6,0.6118617517368399,0.6074775546506308,0.9462270369415069
60,0.7,3,0.05,0.7,0.6221433821350589,0.622553821977135,0.9466053363138739
60,0.7,3,0.05,0.9,0.618148925425327,0.6233839536529558,0.9324334393717938
60,0.7,3,0.1,0.5,0.6144286266942711,0.6069205640962081,0.945673917404637
60,0.7,3,0.1,0.6,0.6128219616651439,0.6091978609625669,0.9466913134439573
60,0.7,3,0.1,0.7,0.6223753966892298,0.623108267500353,0.9466454589745794
60,0.7,3,0.1,0.9,0.6236465784050188,0.6286010818061711,0.9338577938268421
60,0.7,3,0.3,0.5,0.6101231072401163,0.5820171620445218,0.9480153612472416
60,0.7,3,0.3,0.6,0.6062244997373272,0.5813354768395488,0.947823345656722
60,0.7,3,0.3,0.7,0.6155839466697278,0.5940947849807675,0.9477316367179663
60,0.7,3,0.3,0.9,0.6233959556711417,0.6115987778566153,0.9316453156793626
60,0.9,1,0.05,0.5,0.6272855310433808,0.6309521414633165,0.9430344195110767
60,0.9,1,0.05,0.6,0.6229997076754454,0.6297040403082327,0.9425013613045596
60,0.9,1,0.05,0.7,0.6224440321635726,0.631009434030048,0.9419339122460092
60,0.9,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
60,0.9,1,0.1,0.5,0.6285418450850091,0.6337905082777316,0.9433066804230075
60,0.9,1,0.1,0.6,0.6258054472690734,0.6335953286687137,0.9428595993465738
60,0.9,1,0.1,0.7,0.6233578536533871,0.6320220921368677,0.9424125182701402
60,0.9,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
60,0.9,1,0.3,0.5,0.6216742550815831,0.6049168229981269,0.9405267532169777
60,0.9,1,0.3,0.6,0.6192115502314717,0.6054375670954515,0.9401283925142578
60,0.9,1,0.3,0.7,0.621804600987298,0.6095723343872285,0.9384403748602872
60,0.9,1,0.3,0.9,0.6242211675026379,0.6117693003073585,0.933829134783481
60,0.9,3,0.05,0.5,0.626562605202339,0.6306497794664339,0.9414954288825839
60,0.9,3,0.05,0.6,0.6222917110650737,0.6294640674036424,0.9409623706760668
60,0.9,3,0.05,0.7,0.6217360763280487,0.6307469280684799,0.9404121170435331
60,0.9,3,0.05,0.9,0.618148925425327,0.6233839536529558,0.9324334393717938
60,0.9,3,0.1,0.5,0.62781920568258,0.6335164621751909,0.9417247012294729
60,0.9,3,0.1,0.6,0.6250886482510987,0.6333670158710967,0.941269022440031
60,0.9,3,0.1,0.7,0.6226321314576737,0.6317698676831305,0.9408477345026223
60,0.9,3,0.1,0.9,0.6236465784050188,0.6286010818061711,0.9338577938268421
60,0.9,3,0.3,0.5,0.6208524203350989,0.6047493403693931,0.938437508955951
