lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,HOTA,IDF1,MOTA
10,0.25,2,0.05,0.553869544937444,0.49793866602744985,0.9171037170779239
10,0.25,2,0.1,0.5574343443633488,0.5023133924237451,0.9184592898289055
10,0.25,2,0.3,0.5549348696965762,0.4905626336390558,0.9260453386065973
10,0.25,2,0.5,0.5001641459528232,0.4135687454964846,0.9287421545868799
10,0.25,2,0.7,0.2753708729941775,0.17830503094746866,0.852732639784484
10,0.25,3,0.05,0.5580734297135806,0.5040961292528204,0.9186111827587196
10,0.25,3,0.1,0.5610446716027543,0.5087774881753498,0.9199294987533316
10,0.25,3,0.3,0.5609188150902861,0.5018214562305413,0.9276703063651736
10,0.25,3,0.5,0.5010625201742405,0.4176575560653307,0.9258074685466999
10,0.25,3,0.7,0.27388331145732897,0.18310917117686265,0.8191098501132033
10,0.25,5,0.05,0.5630560322085866,0.5158097200658402,0.9166595019058263
10,0.25,5,0.1,0.5645009135984528,0.5165148063781321,0.9176539707104577
10,0.25,5,0.3,0.5620644628002283,0.5078610994275449,0.9245980569168601
10,0.25,5,0.5,0.49970057737173484,0.4206898748657,0.9149972773908807
10,0.25,5,0.7,0.26904058125361524,0.1898474745394935,0.7533115524603788
10,0.5,2,0.05,0.5651190901060567,0.5143321041101827,0.924317198291921
10,0.5,2,0.1,0.5691962143687659,0.5186935696711672,0.9260682658412862
10,0.5,2,0.3,0.5664215336955907,0.5081266281572092,0.9345456108675092
10,0.5,2,0.5,0.5064178263940967,0.42400770019507544,0.9354569684463933
10,0.5,2,0.7,0.2767340313427771,0.1800975168793417,0.8576533975295905
10,0.5,3,0.05,0.5702840934006695,0.523346369377148,0.9240850600406958
10,0.5,3,0.1,0.573454340109086,0.5263528046061096,0.9256813687559109
10,0.5,3,0.3,0.5721152250465924,0.5171263278851985,0.9337546212707419
10,0.5,3,0.5,0.5072751205548232,0.42681210213039783,0.9302868770240449
10,0.5,3,0.7,0.2747943333497547,0.18442652786372074,0.8214283667211189
10,0.5,5,0.05,0.5733957111153493,0.5314641497237053,0.9206345112200155
10,0.5,5,0.1,0.5762863850411696,0.5329208324759276,0.9220731951967444
10,0.5,5,0.3,0.5730372868011454,0.5212251416295035,0.9289026452297022
10,0.5,5,0.5,0.5058185121838762,0.4302892220174433,0.9174562233112659
10,0.5,5,0.7,0.26960554389226876,0.19064639724718513,0.7540108331183905
10,0.75,2,0.05,0.5855039305903821,0.5469471944860212,0.933046742899722
10,0.75,2,0.1,0.5869410749878249,0.5476771854285876,0.9351417189694208
10,0.75,2,0.3,0.5839918913208347,0.5356217994621459,0.9417877511248675
10,0.75,2,0.5,0.5151239882034045,0.4331562857631066,0.9395380162210185
10,0.75,2,0.7,0.27838523026563716,0.18244717099605104,0.856174590892156
10,0.75,3,0.05,0.5865062792273811,0.5497951952377578,0.9314647637061875
10,0.75,3,0.1,0.5880288179678085,0.5506993006993007,0.9335425443498696
10,0.75,3,0.3,0.5853203691401638,0.5389720182236116,0.9395294185080102
10,0.75,3,0.5,0.514793220437488,0.4353651991759431,0.9330381451867137
10,0.75,3,0.7,0.27588440518101925,0.18598208824081264,0.8190095434614393
