lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,HOTA,IDF1,MOTA
10,0.5,5,0.7,0.24447505789177532,0.17199257623547293,0.696861834751956
10,0.75,2,0.05,0.5702067739564717,0.5361138781611884,0.9246811681426074
10,0.75,2,0.1,0.5744299584025646,0.5406829774748341,0.9267646805949618
10,0.75,2,0.3,0.5828014900023648,0.5439560595362659,0.9354111139770155
10,0.75,2,0.5,0.5222640057116962,0.4440365816645001,0.9350156191786319
10,0.75,2,0.7,0.25366191447452807,0.16244300455963523,0.8197174218324592
10,0.75,3,0.05,0.5708134314171113,0.5391624266586855,0.9236866993379761
10,0.75,3,0.1,0.5739279999434883,0.542971842135022,0.925884847963775
10,0.75,3,0.3,0.5831768872954562,0.545933601172162,0.9342188977731923
10,0.75,3,0.5,0.5215550099570032,0.4458680812259258,0.9295159487576304
10,0.75,3,0.7,0.2509144900637884,0.1667418762066479,0.7738944774023443
10,0.75,5,0.05,0.5724786592364419,0.5438231661019254,0.9199123033273149
10,0.75,5,0.1,0.5771226390154403,0.5500291655253555,0.9231393116097785
10,0.75,5,0.3,0.584711297824047,0.5510200004566315,0.9296993666351417
10,0.75,5,0.5,0.5202165087717225,0.450955768689766,0.9170148740435045
10,0.75,5,0.7,0.24504508029921107,0.1730156703690246,0.69554638466168
10,0.9,2,0.05,0.6045095591906148,0.5951478435969618,0.9333075401943083
10,0.9,2,0.1,0.6048337556550528,0.5938690093564746,0.9334078468460723
10,0.9,2,0.3,0.6097383660561586,0.591491936755946,0.93481787177944
10,0.9,2,0.5,0.5380560357514806,0.4732355870230506,0.923050468575359
10,0.9,2,0.7,0.25029665000710094,0.16641827498981024,0.7743960106611641
10,0.9,3,0.05,0.603860090903434,0.5950596344552092,0.931630986157682
10,0.9,3,0.1,0.6041755463341731,0.5937856185707809,0.9316854383400682
10,0.9,3,0.3,0.6089962673951476,0.5914102466542519,0.9328547273092024
10,0.9,3,0.5,0.5372810575260174,0.47443351722568583,0.9175192732066604
10,0.9,3,0.7,0.24732143513246677,0.16989658913785874,0.7326340526753217
10,0.9,5,0.05,0.6021507230532379,0.5943122361178873,0.9279511649901127
10,0.9,5,0.1,0.6026787358481607,0.5937093287924916,0.9280801306852378
10,0.9,5,0.3,0.6074891442312678,0.5918253369644697,0.9285702003267131
10,0.9,5,0.5,0.535223715271006,0.47646970733583704,0.906580116355716
10,0.9,5,0.7,0.24126175334885805,0.17561304995607574,0.661106812254607
30,0.25,2,0.05,0.5489718242341699,0.5109109633616274,0.903645430315536
30,0.25,2,0.1,0.5490767586946177,0.5095370812095646,0.9056028429771015
30,0.25,2,0.3,0.5603067698340777,0.5181072718040504,0.9161092482732927
30,0.25,2,0.5,0.5065849400492052,0.4281567776811832,0.9185825237153584
30,0.25,2,0.7,0.2548865032097732,0.1636988126610014,0.8151147794686613
30,0.25,3,0.05,0.5533141254817405,0.5197528327651729,0.9052474708394234
30,0.25,3,0.1,0.5524222825745693,0.5159808087577882,0.9071733585532915
30,0.25,3,0.3,0.5592570689442025,0.5155620363163443,0.9173788438941908
30,0.25,3,0.5,0.5107376928240371,0.4369181220295989,0.9167225518012209
30,0.25,3,0.7,0.253030266872826,0.16877827429576006,0.7735992892557246
30,0.25,5,0.05,0.5587805260513147,0.5281062969901056,0.904227208895767
30,0.25,5,0.1,0.5545810643582159,0.5219293313240818,0.9058493107500072
30,0.25,5,0.3,0.563619464366013,0.5223033068565897,0.9156363740578339
30,0.25,5,0.5,0.5094550998857479,0.44232818557282993,0.9084687473132147
30,0.25,5,0.7,0.24718617446486846,0.17495998352310416,0.6991946808815521
30,0.5,2,0.05,0.5569193781309582,0.5237132078003587,0.9103172556100078
