lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,HOTA,IDF1,MOTA
10,0.25,2,0.05,0.5303266317258292,0.45009892566442933,0.9293353967844553
10,0.25,2,0.1,0.5304509623790958,0.4502891741756751,0.9299057117473418
10,0.25,2,0.3,0.5289182312291915,0.4472673280652445,0.9332129653512166
10,0.25,2,0.5,0.46914853011421376,0.37322237392453894,0.9262258905797724
10,0.25,2,0.7,0.2324142913736565,0.14879562225148452,0.7663485512853581
10,0.25,3,0.05,0.530060007195398,0.45149541803111665,0.9255294758260969
10,0.25,3,0.1,0.5301802407652437,0.45169922320814604,0.9260510704152696
10,0.25,3,0.3,0.5286047227660406,0.4487183363206427,0.9289055111340383
10,0.25,3,0.5,0.46836812297746483,0.3750453190680798,0.9176195798584244
10,0.25,3,0.7,0.22936159992257563,0.152398765487549,0.719256011234345
10,0.25,5,0.05,0.5287692918023633,0.4537851404895221,0.915335454102542
10,0.25,5,0.1,0.5288536692825139,0.45399548375688814,0.9157481443269424
10,0.25,5,0.3,0.5271616700980701,0.4510781461498311,0.9177686068839022
10,0.25,5,0.5,0.4660555837006354,0.37805933086687316,0.8988679677872352
10,0.25,5,0.7,0.22328337236209492,0.15813340515671556,0.6424039205571318
10,0.5,2,0.05,0.5349849949351814,0.45759971588508813,0.9334966898804918
10,0.5,2,0.1,0.5346424546376827,0.45687043295023,0.933932307339581
10,0.5,2,0.3,0.5345631493329227,0.4557487485546435,0.937144986100364
10,0.5,2,0.5,0.4740767637286007,0.37900834065351063,0.9292580173673802
10,0.5,2,0.7,0.23281213947757043,0.14940851212958997,0.767231249820881
10,0.5,3,0.05,0.5343316612406432,0.45860829042372636,0.9285386753790158
10,0.5,3,0.1,0.5339708368891525,0.45788579329873397,0.9289026452297022
10,0.5,3,0.3,0.5338507564497269,0.45681575829811305,0.9317370246181182
10,0.5,3,0.5,0.4729485153291708,0.38050523286275756,0.9195569311896369
10,0.5,3,0.7,0.22962956659483738,0.15290525777621292,0.7193477201731007
10,0.5,5,0.05,0.5325824360055271,0.46037337448100135,0.917536468632677
10,0.5,5,0.1,0.532183805096908,0.45965441699188997,0.9177284842231966
10,0.5,5,0.3,0.5319751997517654,0.458675593072333,0.9199266328489955
10,0.5,5,0.5,0.4702737485045183,0.3831241963375161,0.9000429885650417
