lost_track_buffer,minimum_iou_threshold,minimum_consecutive_frames,direction_consistency_weight,high_conf_det_threshold,delta_t,HOTA,IDF1,MOTA
10,0.1,3,0.0,0.4,1,0.8457131774667179,0.7940466796006768,0.9762620020136371
10,0.1,3,0.0,0.4,3,0.8457131774667179,0.7940466796006768,0.9762620020136371
10,0.1,3,0.0,0.6,1,0.8457131774667179,0.7940466796006768,0.9762620020136371
10,0.1,3,0.0,0.6,3,0.8457131774667179,0.7940466796006768,0.9762620020136371
10,0.1,3,0.0,0.8,1,0.8457131774667179,0.7940466796006768,0.9762620020136371
10,0.1,3,0.0,0.8,3,0.8457131774667179,0.7940466796006768,0.9762620020136371
10,0.1,3,0.2,0.4,1,0.8493560709738937,0.797796643692641,0.9765948796865492
10,0.1,3,0.2,0.4,3,0.8467897461078584,0.7955724348093951,0.9765253027958996
10,0.1,3,0.2,0.6,1,0.8493560709738937,0.797796643692641,0.9765948796865492
10,0.1,3,0.2,0.6,3,0.8467897461078584,0.7955724348093951,0.9765253027958996
10,0.1,3,0.2,0.8,1,0.8493560709738937,0.797796643692641,0.9765948796865492
10,0.1,3,0.2,0.8,3,0.8467897461078584,0.7955724348093951,0.9765253027958996
10,0.1,3,0.5,0.4,1,0.8425405564561294,0.7924891976032052,0.9760000654841324
10,0.1,3,0.5,0.4,3,0.8457812083257993,0.7944074956433503,0.9760000654841324
10,0.1,3,0.5,0.6,1,0.8425405564561294,0.7924891976032052,0.9760000654841324
10,0.1,3,0.5,0.6,3,0.8457812083257993,0.7944074956433503,0.9760000654841324
10,0.1,3,0.5,0.8,1,0.8425405564561294,0.7924891976032052,0.9760000654841324
10,0.1,3,0.5,0.8,3,0.8457812083257993,0.7944074956433503,0.9760000654841324
10,0.1,5,0.0,0.4,1,0.8435288481789096,0.7949152929183815,0.9697627018753019
10,0.1,5,0.0,0.4,3,0.8435288481789096,0.7949152929183815,0.9697627018753019
