lost_track_buffer,minimum_iou_threshold,minimum_consecutive_frames,direction_consistency_weight,high_conf_det_threshold,delta_t,HOTA,IDF1,MOTA
10,0.1,5,0.0,0.6,3,0.8414565164405768,0.7930574745073308,0.9698513783045613
10,0.1,5,0.0,0.8,1,0.8414565164405768,0.7930574745073308,0.9698513783045613
10,0.1,5,0.0,0.8,3,0.8414565164405768,0.7930574745073308,0.9698513783045613
10,0.1,5,0.2,0.4,1,0.8471111892804553,0.7998135819644699,0.970204719768841
10,0.1,5,0.2,0.4,3,0.842778256671607,0.7945993190373589,0.9700887582844249
10,0.1,5,0.2,0.6,1,0.8471111892804553,0.7998135819644699,0.970204719768841
10,0.1,5,0.2,0.6,3,0.842778256671607,0.7945993190373589,0.9700887582844249
10,0.1,5,0.2,0.8,1,0.8471111892804553,0.7998135819644699,0.970204719768841
10,0.1,5,0.2,0.8,3,0.842778256671607,0.7945993190373589,0.9700887582844249
10,0.1,5,0.5,0.4,1,0.8412738748220084,0.7946122450108832,0.9697204100398089
10,0.1,5,0.5,0.4,3,0.8430767879252485,0.7954617914236018,0.9698268217549202
10,0.1,5,0.5,0.6,1,0.8412738748220084,0.7946122450108832,0.9697204100398089
10,0.1,5,0.5,0.6,3,0.8430767879252485,0.7954617914236018,0.9698268217549202
10,0.1,5,0.5,0.8,1,0.8412738748220084,0.7946122450108832,0.9697204100398089
10,0.1,5,0.5,0.8,3,0.8430767879252485,0.7954617914236018,0.9698268217549202
10,0.3,3,0.0,0.4,1,0.8053744333891546,0.7483435231127573,0.956833678489281
10,0.3,3,0.0,0.4,3,0.8053744333891546,0.7483435231127573,0.956833678489281
10,0.3,3,0.0,0.6,1,0.8053744333891546,0.7483435231127573,0.956833678489281
10,0.3,3,0.0,0.6,3,0.8053744333891546,0.7483435231127573,0.956833678489281
10,0.3,3,0.0,0.8,1,0.8053744333891546,0.7483435231127573,0.956833678489281
10,0.3,3,0.0,0.8,3,0.8053744333891546,0.7483435231127573,0.956833678489281
10,0.3,3,0.2,0.4,1,0.8115035884053979,0.7555070431157787,0.9570928865132701
10,0.3,3,0.2,0.4,3,0.8075353941223163,0.7509732390564521,0.9570751512274182
10,0.3,3,0.2,0.6,1,0.8115035884053979,0.7555070431157787,0.9570928865132701
10,0.3,3,0.2,0.6,3,0.8075353941223163,0.7509732390564521,0.9570751512274182
10,0.3,3,0.2,0.8,1,0.8115035884053979,0.7555070431157787,0.9570928865132701
10,0.3,3,0.2,0.8,3,0.8075353941223163,0.7509732390564521,0.9570751512274182
10,0.3,3,0.5,0.4,1,0.8067518105995164,0.7514043527107921,0.9572238547780224
10,0.3,3,0.5,0.4,3,0.8101498627932099,0.7548014251589809,0.9573520945372591
10,0.3,3,0.5,0.6,1,0.8067518105995164,0.7514043527107921,0.9572238547780224
10,0.3,3,0.5,0.6,3,0.8101498627932099,0.7548014251589809,0.9573520945372591
10,0.3,3,0.5,0.8,1,0.8067518105995164,0.7514043527107921,0.9572238547780224
10,0.3,3,0.5,0.8,3,0.8101498627932099,0.7548014251589809,0.9573520945372591
10,0.3,5,0.0,0.4,1,0.8027794050756621,0.7496230789608512,0.9481624879604694
10,0.3,5,0.0,0.4,3,0.8027794050756621,0.7496230789608512,0.9481624879604694
10,0.3,5,0.0,0.6,1,0.8027794050756621,0.7496230789608512,0.9481624879604694
10,0.3,5,0.0,0.6,3,0.8027794050756621,0.7496230789608512,0.9481624879604694
10,0.3,5,0.0,0.8,1,0.8027794050756621,0.7496230789608512,0.9481624879604694
10,0.3,5,0.0,0.8,3,0.8027794050756621,0.7496230789608512,0.9481624879604694
10,0.3,5,0.2,0.4,1,0.8088800667993817,0.7567537721316563,0.948442159775826
10,0.3,5,0.2,0.4,3,0.8049045066036107,0.7521979101070666,0.9484353385120368
10,0.3,5,0.2,0.6,1,0.8088800667993817,0.7567537721316563,0.948442159775826
10,0.3,5,0.2,0.6,3,0.8049045066036107,0.7521979101070666,0.9484353385120368
10,0.3,5,0.2,0.8,1,0.8088800667993817,0.7567537721316563,0.948442159775826
10,0.3,5,0.2,0.8,3,0.8049045066036107,0.7521979101070666,0.9484353385120368
10,0.3,5,0.5,0.4,1,0.804036394412013,0.7525285987453454,0.948575856546094
10,0.3,5,0.5,0.4,3,0.8074433715343358,0.7559499516400454,0.948725924349456
10,0.3,5,0.5,0.6,1,0.804036394412013,0.7525285987453454,0.948575856546094
10,0.3,5,0.5,0.6,3,0.8074433715343358,0.7559499516400454,0.948725924349456
10,0.3,5,0.5,0.8,1,0.804036394412013,0.7525285987453454,0.948575856546094
10,0.3,5,0.5,0.8,3,0.8074433715343358,0.7559499516400454,0.948725924349456
10,0.5,3,0.0,0.4,1,0.694707048470448,0.6219227996405982,0.9144709018529281
