lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,HOTA,IDF1,MOTA
10,0.25,2,0.05,0.8600253182434572,0.8072701448051396,0.9856180474268829
10,0.25,2,0.1,0.8584326219578026,0.805856220346742,0.9824789018311001
10,0.25,2,0.3,0.8411924535119655,0.7870678012445004,0.9670110040627448
10,0.25,2,0.5,0.7813681567340802,0.719466625232977,0.9335622549460983
10,0.25,2,0.7,0.5590282170386457,0.48634864721423016,0.818610317570757
10,0.25,3,0.05,0.858055556619098,0.8079583573684178,0.9814734475485742
10,0.25,3,0.1,0.8565072500456349,0.8068552729796804,0.9782565395455947
10,0.25,3,0.3,0.8392091085303138,0.7892504085746902,0.9622497619378938
10,0.25,3,0.5,0.7799463227644673,0.7247122421470864,0.9280670448375311
10,0.25,3,0.7,0.5564110929353414,0.49411473769797704,0.808820439780519
10,0.25,5,0.05,0.8538703875121653,0.807705029537788,0.9731596912423158
10,0.25,5,0.1,0.8523046161184558,0.806684895348781,0.9697490593477235
10,0.25,5,0.3,0.835296675945327,0.7899354520068615,0.9527013568857929
10,0.25,5,0.5,0.7756086038804009,0.7258456551842718,0.9161448399867941
10,0.25,5,0.7,0.5508379748832537,0.4970963695114997,0.784740014351939
10,0.5,2,0.05,0.8600253182434572,0.8072701448051396,0.9856180474268829
10,0.5,2,0.1,0.8584326219578026,0.805856220346742,0.9824789018311001
10,0.5,2,0.3,0.8411924535119655,0.7870678012445004,0.9670110040627448
10,0.5,2,0.5,0.7813681567340802,0.719466625232977,0.9335622549460983
10,0.5,2,0.7,0.5590282170386457,0.48634864721423016,0.818610317570757
10,0.5,3,0.05,0.858055556619098,0.8079583573684178,0.9814734475485742
10,0.5,3,0.1,0.8565072500456349,0.8068552729796804,0.9782565395455947
10,0.5,3,0.3,0.8392091085303138,0.7892504085746902,0.9622497619378938
10,0.5,3,0.5,0.7799463227644673,0.7247122421470864,0.9280670448375311
10,0.5,3,0.7,0.5564110929353414,0.49411473769797704,0.808820439780519
10,0.5,5,0.05,0.8538703875121653,0.807705029537788,0.9731596912423158
10,0.5,5,0.1,0.8523046161184558,0.806684895348781,0.9697490593477235
10,0.5,5,0.3,0.835296675945327,0.7899354520068615,0.9527013568857929
10,0.5,5,0.5,0.7756086038804009,0.7258456551842718,0.9161448399867941
10,0.5,5,0.7,0.5508379748832537,0.4970963695114997,0.784740014351939
10,0.75,2,0.05,0.8600253182434572,0.8072701448051396,0.9856180474268829
10,0.75,2,0.1,0.8584326219578026,0.805856220346742,0.9824789018311001
10,0.75,2,0.3,0.8411924535119655,0.7870678012445004,0.9670110040627448
10,0.75,2,0.5,0.7813681567340802,0.719466625232977,0.9335622549460983
10,0.75,2,0.7,0.5590282170386457,0.48634864721423016,0.818610317570757
10,0.75,3,0.05,0.858055556619098,0.8079583573684178,0.9814734475485742
10,0.75,3,0.1,0.8565072500456349,0.8068552729796804,0.9782565395455947
10,0.75,3,0.3,0.8392091085303138,0.7892504085746902,0.9622497619378938
10,0.75,3,0.5,0.7799463227644673,0.7247122421470864,0.9280670448375311
10,0.75,3,0.7,0.5564110929353414,0.49411473769797704,0.808820439780519
10,0.75,5,0.05,0.8538703875121653,0.807705029537788,0.9731596912423158
10,0.75,5,0.1,0.8523046161184558,0.806684895348781,0.9697490593477235
10,0.75,5,0.3,0.835296675945327,0.7899354520068615,0.9527013568857929
10,0.75,5,0.5,0.7756086038804009,0.7258456551842718,0.9161448399867941
10,0.75,5,0.7,0.5508379748832537,0.4970963695114997,0.784740014351939
10,0.9,2,0.05,0.8600253182434572,0.8072701448051396,0.9856180474268829
10,0.9,2,0.1,0.8584326219578026,0.805856220346742,0.9824789018311001
10,0.9,2,0.3,0.8411924535119655,0.7870678012445004,0.9670110040627448
10,0.9,2,0.5,0.7813681567340802,0.719466625232977,0.9335622549460983
10,0.9,2,0.7,0.5590282170386457,0.48634864721423016,0.818610317570757
10,0.9,3,0.05,0.858055556619098,0.8079583573684178,0.9814734475485742
10,0.9,3,0.1,0.8565072500456349,0.8068552729796804,0.9782565395455947
10,0.9,3,0.3,0.8392091085303138,0.7892504085746902,0.9622497619378938
10,0.9,3,0.5,0.7799463227644673,0.7247122421470864,0.9280670448375311
10,0.9,3,0.7,0.5564110929353414,0.49411473769797704,0.808820439780519
10,0.9,5,0.05,0.8538703875121653,0.807705029537788,0.9731596912423158
10,0.9,5,0.1,0.8523046161184558,0.806684895348781,0.9697490593477235
10,0.9,5,0.3,0.835296675945327,0.7899354520068615,0.9527013568857929
10,0.9,5,0.5,0.7756086038804009,0.7258456551842718,0.9161448399867941
10,0.9,5,0.7,0.5508379748832537,0.4970963695114997,0.784740014351939
30,0.25,2,0.05,0.8606616449407251,0.8080179926365094,0.9856112261630937
30,0.25,2,0.1,0.8589977454399332,0.8065662697320606,0.9824516167759433
30,0.25,2,0.3,0.8412587970073805,0.7872924648345829,0.9668636647648983
30,0.25,2,0.5,0.7811684809266255,0.7190334863338724,0.9333330604827818
30,0.25,2,0.7,0.5588248756316891,0.4858805891172061,0.8185748469990533
30,0.25,3,0.05,0.8587009743888724,0.8087285397729655,0.981491182834426
30,0.25,3,0.1,0.8571272072863555,0.8076301753023273,0.9782865531062671
30,0.25,3,0.3,0.8393531428773185,0.7895257671291624,0.9622020130913694
30,0.25,3,0.5,0.7800912977159379,0.7249173810042998,0.9279974679468814
30,0.25,3,0.7,0.5564406954595809,0.4940855779814314,0.8089568650563027
30,0.25,5,0.05,0.8545150004229818,0.80846776699485,0.9731910690557461
30,0.25,5,0.1,0.8529212517025471,0.8074568960448875,0.9698022652052791
30,0.25,5,0.3,0.8352242173906442,0.7900449660487497,0.9526590650503
30,0.25,5,0.5,0.7757588484178491,0.7260796603401998,0.9161243761954265
30,0.25,5,0.7,0.5508708423765938,0.49708756463842774,0.784832783539472
30,0.5,2,0.05,0.8606616449407251,0.8080179926365094,0.9856112261630937
30,0.5,2,0.1,0.8589977454399332,0.8065662697320606,0.9824516167759433
30,0.5,2,0.3,0.8412587970073805,0.7872924648345829,0.9668636647648983
30,0.5,2,0.5,0.7811684809266255,0.7190334863338724,0.9333330604827818
30,0.5,2,0.7,0.5588248756316891,0.4858805891172061,0.8185748469990533
30,0.5,3,0.05,0.8587009743888724,0.8087285397729655,0.981491182834426
30,0.5,3,0.1,0.8571272072863555,0.8076301753023273,0.9782865531062671
30,0.5,3,0.3,0.8393531428773185,0.7895257671291624,0.9622020130913694
30,0.5,3,0.5,0.7800912977159379,0.7249173810042998,0.9279974679468814
30,0.5,3,0.7,0.5564406954595809,0.4940855779814314,0.8089568650563027
30,0.5,5,0.05,0.8545150004229818,0.80846776699485,0.9731910690557461
30,0.5,5,0.1,0.8529212517025471,0.8074568960448875,0.9698022652052791
30,0.5,5,0.3,0.8352242173906442,0.7900449660487497,0.9526590650503
30,0.5,5,0.5,0.7757588484178491,0.7260796603401998,0.9161243761954265
30,0.5,5,0.7,0.5508708423765938,0.49708756463842774,0.784832783539472
30,0.75,2,0.05,0.8606616449407251,0.8080179926365094,0.9856112261630937
30,0.75,2,0.1,0.8589977454399332,0.8065662697320606,0.9824516167759433
