lost_track_buffer,frame_rate,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,high_conf_det_threshold,HOTA,IDF1,MOTA
10,25.0,0.5,2,0.1,0.5,0.858415754319736,0.8058411413793956,0.9824966371169519
10,25.0,0.5,2,0.1,0.6,0.858415754319736,0.8058411413793956,0.9824966371169519
10,25.0,0.5,2,0.1,0.7,0.858415754319736,0.8058411413793956,0.9824966371169519
10,25.0,0.5,2,0.3,0.5,0.8413305575218044,0.7873300043085829,0.9670137325682604
10,25.0,0.5,2,0.3,0.6,0.8413305575218044,0.7873300043085829,0.9670137325682604
10,25.0,0.5,2,0.3,0.7,0.8413305575218044,0.7873300043085829,0.9670137325682604
10,25.0,0.5,3,0.1,0.5,0.8564768007528852,0.8068293952663317,0.978261996556626
10,25.0,0.5,3,0.1,0.6,0.8564768007528852,0.8068293952663317,0.978261996556626
10,25.0,0.5,3,0.1,0.7,0.8564768007528852,0.8068293952663317,0.978261996556626
10,25.0,0.5,3,0.3,0.5,0.8392046493592673,0.7892538755251686,0.9622252053882527
10,25.0,0.5,3,0.3,0.6,0.8392046493592673,0.7892538755251686,0.9622252053882527
10,25.0,0.5,3,0.3,0.7,0.8392046493592673,0.7892538755251686,0.9622252053882527
10,25.0,0.7,2,0.1,0.5,0.858415754319736,0.8058411413793956,0.9824966371169519
10,25.0,0.7,2,0.1,0.6,0.858415754319736,0.8058411413793956,0.9824966371169519
10,25.0,0.7,2,0.1,0.7,0.858415754319736,0.8058411413793956,0.9824966371169519
10,25.0,0.7,2,0.3,0.5,0.8413305575218044,0.7873300043085829,0.9670137325682604
10,25.0,0.7,2,0.3,0.6,0.8413305575218044,0.7873300043085829,0.9670137325682604
10,25.0,0.7,2,0.3,0.7,0.8413305575218044,0.7873300043085829,0.9670137325682604
10,25.0,0.7,3,0.1,0.5,0.8564768007528852,0.8068293952663317,0.978261996556626
10,25.0,0.7,3,0.1,0.6,0.8564768007528852,0.8068293952663317,0.978261996556626
10,25.0,0.7,3,0.1,0.7,0.8564768007528852,0.8068293952663317,0.978261996556626
10,25.0,0.7,3,0.3,0.5,0.8392046493592673,0.7892538755251686,0.9622252053882527
10,25.0,0.7,3,0.3,0.6,0.8392046493592673,0.7892538755251686,0.9622252053882527
10,25.0,0.7,3,0.3,0.7,0.8392046493592673,0.7892538755251686,0.9622252053882527
10,25.0,0.9,2,0.1,0.5,0.858415754319736,0.8058411413793956,0.9824966371169519
10,25.0,0.9,2,0.1,0.6,0.858415754319736,0.8058411413793956,0.9824966371169519
10,25.0,0.9,2,0.1,0.7,0.858415754319736,0.8058411413793956,0.9824966371169519
10,25.0,0.9,2,0.3,0.5,0.8413305575218044,0.7873300043085829,0.9670137325682604
10,25.0,0.9,2,0.3,0.6,0.8413305575218044,0.7873300043085829,0.9670137325682604
10,25.0,0.9,2,0.3,0.7,0.8413305575218044,0.7873300043085829,0.9670137325682604
10,25.0,0.9,3,0.1,0.5,0.8564768007528852,0.8068293952663317,0.978261996556626
10,25.0,0.9,3,0.1,0.6,0.8564768007528852,0.8068293952663317,0.978261996556626
10,25.0,0.9,3,0.1,0.7,0.8564768007528852,0.8068293952663317,0.978261996556626
10,25.0,0.9,3,0.3,0.5,0.8392046493592673,0.7892538755251686,0.9622252053882527
