tracker,state_estimator,lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,HOTA,IDF1,MOTA,output_dir
SORT,XCYCSR,10,0.9,3,0.3,0.7988285721661946,0.7389300758038396,0.9583343565229017,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-3_minimum_iou_threshold-0.3
SORT,XCYCSR,10,0.9,3,0.5,0.6781598059244422,0.6000844349305607,0.9172171426544539,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-3_minimum_iou_threshold-0.5
SORT,XCYCSR,10,0.9,3,0.7,0.4449219979729867,0.3714696026807085,0.7827604836003176,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-3_minimum_iou_threshold-0.7
SORT,XCYCSR,10,0.9,5,0.05,0.8416527536626986,0.7939937449242307,0.9705266834196905,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-5_minimum_iou_threshold-0.05
SORT,XCYCSR,10,0.9,5,0.1,0.8370541447297991,0.7887304829496279,0.9668445652262886,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-5_minimum_iou_threshold-0.1
SORT,XCYCSR,10,0.9,5,0.3,0.7948697488362321,0.7409010858967706,0.9461461223843864,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-5_minimum_iou_threshold-0.3
SORT,XCYCSR,10,0.9,5,0.5,0.6730259376665552,0.6023293532580455,0.8988065516874443,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-5_minimum_iou_threshold-0.5
SORT,XCYCSR,10,0.9,5,0.7,0.4380463589034697,0.3763218021865219,0.742553226321347,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-5_minimum_iou_threshold-0.7
SORT,XCYCSR,30,0.25,2,0.05,0.8469130928543906,0.7922010788338503,0.9845034529237301,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.25_minimum_consecutive_frames-2_minimum_iou_threshold-0.05
SORT,XCYCSR,30,0.25,2,0.1,0.842411546683289,0.7866888213085377,0.9815402959337083,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.25_minimum_consecutive_frames-2_minimum_iou_threshold-0.1
SORT,XCYCSR,30,0.25,2,0.3,0.7992689604294594,0.735195975344703,0.9641760868319595,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.25_minimum_consecutive_frames-2_minimum_iou_threshold-0.3
SORT,XCYCSR,30,0.25,2,0.5,0.6789681083806616,0.5960522587577183,0.9253699171352875,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.25_minimum_consecutive_frames-2_minimum_iou_threshold-0.5
SORT,XCYCSR,30,0.25,2,0.7,0.44982388551269353,0.3673868026214791,0.8004739414080726,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.25_minimum_consecutive_frames-2_minimum_iou_threshold-0.7
SORT,XCYCSR,30,0.25,3,0.05,0.84532934255902,0.7935172385334351,0.9798240659643493,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.25_minimum_consecutive_frames-3_minimum_iou_threshold-0.05
SORT,XCYCSR,30,0.25,3,0.1,0.8407212091815925,0.7882583957401937,0.9766085222141276,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.25_minimum_consecutive_frames-3_minimum_iou_threshold-0.1
SORT,XCYCSR,30,0.25,3,0.3,0.7978476973640474,0.7383067709708346,0.9580628702240922,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.25_minimum_consecutive_frames-3_minimum_iou_threshold-0.3
SORT,XCYCSR,30,0.25,3,0.5,0.6772213267401611,0.6007469848966822,0.9167683034971256,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.25_minimum_consecutive_frames-3_minimum_iou_threshold-0.5
SORT,XCYCSR,30,0.25,3,0.7,0.4465434994053606,0.3740373105718328,0.7823771285753655,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.25_minimum_consecutive_frames-3_minimum_iou_threshold-0.7
SORT,XCYCSR,30,0.25,5,0.05,0.8413410491816979,0.7940152307911358,0.970414814693548,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.25_minimum_consecutive_frames-5_minimum_iou_threshold-0.05
